"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Booyahg Whip","VGM","15 (leather armor, shield)","7 (2d6)","8","14","10","10","8","8","1/4 (50 XP)"
"Booyahg Wielder","VGM","15 (leather armor, shield)","7 (2d6)","8","14","10","10","8","8","1/4 (50 XP)"
"Borborygmos","GGR","14 (natural armor)","270 (20d12 + 140)","24","11","24","8","17","16","18 (20,000 XP)"
"Bore Worm","WDMM","18 (natural armor)","247 (15d20 + 90)","28","7","22","1","8","4","16 (15,000 XP)"
"Bozak Draconian","DSotDQ","15 (natural armor)","40 (9d8)","14","10","11","11","10","14","2 (450 XP)"
"Brackish Trudge","SCC","12 (natural armor)","68 (8d10 + 24)","20","10","17","4","14","4","3 (700 XP)"
"Brain in a Jar","VRGR","11 (natural armor)","55 (10d6 + 20)","1","3","15","19","10","15","3 (700 XP)"
"Brass Dragon Wyrmling","MM","16 (natural armor)","16 (3d8 + 3)","15","10","13","10","11","13","1 (200 XP)"
"Brass Greatwyrm","FTD","22 (natural armor)","565 (29d20 + 261)","30","16","29","21","22","30","28 (120,000 XP, or 240,000 XP as a mythic encounter)"
"Braxat","BAM","18 (natural armor, intellect fortress)","162 (13d12 + 78)","26","8","22","14","13","7","9 (5,000 XP)"
"Bridesmaid of Zuggtmoy","OotA","13 (natural armor)","22 (5d8)","14","11","11","14","8","18","1/8 (25 XP)"
"Brigganock","WBtW","12","9 (2d4 + 4)","4","15","14","10","11","13","1/8 (25 XP)"
"Broken King Antigonos","MOT","14 (natural armor)","38 (9d10 + 27)","18","11","16","6","16","9","3 (700 XP)"
"Brontosaurus","MPMM","15 (natural armor)","121 (9d20 + 27)","21","9","17","2","10","7","5 (1,800 XP)"
"Bronze Dragon Wyrmling","MM","17 (natural armor)","32 (5d8 + 10)","17","10","15","12","11","15","2 (450 XP)"
"Bronze Greatwyrm","FTD","22 (natural armor)","565 (29d20 + 261)","30","16","29","21","22","30","28 (120,000 XP, or 240,000 XP as a mythic encounter)"
"Bronze Sable","MOT","15 (natural armor)","32 (5d8 + 10)","13","16","15","3","14","1","1 (200 XP)"
"Broom of Animated Attack","CoS","15 (natural armor)","17 (5d6)","10","17","10","1","5","1","1/4 (50 XP)"
"Brown Bear","MM","11 (natural armor)","34 (4d10 + 12)","19","10","16","2","13","7","1 (200 XP)"
"Brown Scavver","BAM","13 (natural armor)","51 (6d10 + 18)","18","15","17","1","10","1","4 (1,100 XP)"
"Bugbear","MM","16 (hide armor, shield)","27 (5d8 + 5)","15","14","13","8","11","9","1 (200 XP)"
"Bugbear Chief","MM","17 (chain shirt, shield)","65 (10d8 + 20)","17","14","14","11","12","11","3 (700 XP)"
"Bugbear Gardener","TftYP","16 (hide armor, shield)","27 (5d8 + 5)","15","14","13","8","11","9","1 (200 XP)"
"Bugbear Lieutenant","TftYP","16 (hide armor, shield)","27 (5d8 + 5)","15","14","13","8","11","9","1 (200 XP)"
"Bulette","MM","17 (natural armor)","94 (9d10 + 45)","19","11","21","2","10","5","5 (1,800 XP)"
"Bulezau","MPMM","14 (natural armor)","52 (7d8 + 21)","15","14","17","8","9","6","3 (700 XP)"
"Bullywug","MM","15 (hide armor, shield)","11 (2d8 + 2)","12","12","13","7","10","7","1/4 (50 XP)"
"Bullywug Croaker","GoS","15 (hide armor, shield)","33 (6d8 + 6)","14","12","12","7","15","10","2 (450 XP)"
"Bullywug Knight","WBtW","18 (plate)","66 (12d8 + 12)","16","12","13","9","11","14","3 (700 XP)"
"Bullywug Royal","GoS","15 (hide armor, shield)","52 (8d8 + 16)","16","12","14","10","11","14","3 (700 XP)"
"Burnished Hart","MOT","14 (natural armor)","45 (6d8 + 18)","17","14","16","3","15","1","2 (450 XP)"
"Burrowshark","PotA","18 (plate armor)","82 (11d8 + 33)","18","12","16","10","11","13","4 (1,100 XP)"
"Cackler","GGR","15 (natural armor)","10 (3d6)","9","16","11","11","7","12","1/2 (100 XP)"
"Cadaver Collector","MPMM","17 (natural armor)","189 (18d10 + 90)","21","14","20","5","11","8","14 (11,500 XP)"
"Cairnwight","BGG","19 (natural armor)","138 (12d12 + 60)","23","10","21","10","12","9","9 (5,000 XP)"
"Cambion","MM","19 (scale mail)","82 (11d8 + 33)","18","18","16","14","12","16","5 (1,800 XP)"
"Camel","MM","9","15 (2d10 + 4)","16","8","14","2","8","5","1/8 (25 XP)"
"Campestri","WBtW","12 (natural armor)","2 (1d4)","1","7","10","4","10","8","0 (10 XP)"
"Canoloth","MPMM","16 (natural armor)","120 (16d8 + 48)","18","10","17","5","17","12","8 (3,900 XP)"
"Canopic Golem","CM","17 (natural armor)","252 (24d10 + 120)","20","10","20","7","11","1","13 (10,000 XP)"
"Carnivorous Flower","RoT","14 (natural armor)","114 (12d10 + 48)","16","11","19","6","13","6","5 (1,800 XP)"
"Carrion Crawler","MM","13 (natural armor)","51 (6d10 + 18)","14","13","16","1","12","5","2 (450 XP)"
"Carrion Ogre","WDMM","11 (hide armor)","59 (7d10 + 21)","19","8","16","1","7","7","2 (450 XP)"
"Carrion Stalker","VRGR","14 (natural armor)","35 (10d4 + 10)","6","16","12","2","13","6","3 (700 XP)"
"Carrionette","VRGR","15 (natural armor)","27 (6d6 + 6)","10","15","12","8","14","14","1 (200 XP)"
"Cat","MM","12","2 (1d4)","3","15","10","3","12","7","0 (10 XP)"
"Category 1 Krasis","GGR","15 (natural armor)","19 (3d8 + 6)","16","15","14","2","13","8","1 (200 XP)"
"Category 2 Krasis","GGR","15 (natural armor)","136 (16d10 + 48)","18","14","16","2","13","8","6 (2,300 XP)"
"Category 3 Krasis","GGR","16 (natural armor)","287 (25d12 + 125)","23","12","21","2","13","8","16 (15,000 XP)"
"Catoblepas","MPMM","14 (natural armor)","84 (8d10 + 40)","19","12","21","3","14","8","5 (1,800 XP)"
"Cave Badger","OotA","12 (natural armor)","13 (2d8 + 4)","13","10","15","2","12","5","1/4 (50 XP)"
"Cave Bear","MM","12 (natural armor)","42 (5d10 + 15)","20","10","16","2","13","7","2 (450 XP)"
"Cave Fisher","MPMM","16 (natural armor)","58 (9d8 + 18)","16","13","14","3","10","3","3 (700 XP)"
"Centaur","MM","12","45 (6d10 + 12)","18","14","14","9","13","11","2 (450 XP)"
"Centaur Mummy","TftYP","13 (natural armor)","85 (10d10 + 30)","20","12","16","5","14","12","6 (2,300 XP)"
"Ceratops","BGG","16 (natural armor)","139 (9d20 + 45)","24","8","21","4","10","7","9 (5,000 XP)"
"Chain Devil","MM","16 (natural armor)","85 (10d8 + 40)","18","15","18","11","12","14","8 (3,900 XP)"
"Chamberlain of Zuggtmoy","OotA","13 (natural armor)","45 (6d10 + 12)","17","7","14","11","8","12","2 (450 XP)"
"Champion","MPMM","18 (plate)","143 (22d8 + 44)","20","15","14","10","14","12","9 (5,000 XP)"
"Changeling","ERLW","13 (leather armor)","22 (4d8 + 4)","8","15","12","14","10","16","1/2 (100 XP)"
"Chaos Quadrapod","AI","14 (natural armor)","52 (7d10 + 14)","18","13","15","6","10","4","4 (1,100 XP)"
"Chardalyn Berserker","IDRotF","13 (hide armor)","90 (12d8 + 36)","16","12","17","9","11","9","4 (1,100 XP)"
"Chardalyn Dragon","IDRotF","17 (natural armor)","147 (14d12 + 56)","24","11","19","10","10","3","11 (7,200 XP)"
"Chasme","MM","15 (natural armor)","84 (13d10 + 13)","15","15","12","11","14","10","6 (2,300 XP)"
"Chimera","MM","14 (natural armor)","114 (12d10 + 48)","19","11","19","3","14","10","6 (2,300 XP)"
"Chimeric Baboon","IDRotF","12","3 (1d6)","8","14","11","4","12","6","0 (10 XP)"
"Chimeric Cat","IDRotF","12","2 (1d4)","3","15","10","3","12","7","0 (10 XP)"
"Chimeric Fox","IDRotF","13","2 (1d4)","2","16","11","3","12","6","0 (10 XP)"
"Chimeric Hare","IDRotF","13","1 (1d4 - 1)","1","17","9","2","11","4","0 (10 XP)"
"Chimeric Rat","IDRotF","10","1 (1d4 - 1)","2","11","9","2","10","4","0 (10 XP)"
"Chimeric Weasel","IDRotF","13","1 (1d4 - 1)","3","16","8","2","12","3","0 (10 XP)"
"Chitine","MPMM","14 (hide armor)","18 (4d6 + 4)","10","14","12","10","10","7","1/2 (100 XP)"
"Choker","MPMM","16 (natural armor)","13 (3d6 + 3)","16","14","13","4","12","7","1 (200 XP)"
"Choldrith","MPMM","15 (natural armor)","66 (12d8 + 12)","12","16","12","11","14","10","3 (700 XP)"
"Chuul","MM","16 (natural armor)","93 (11d10 + 33)","19","10","16","5","11","5","4 (1,100 XP)"
"Chuul Spore Servant","OotA","16 (natural armor)","93 (11d10 + 33)","19","10","16","2","6","1","4 (1,100 XP)"
"Chwinga","CM","15","5 (2d4)","1","20","10","14","16","16","0 (10 XP)"
"Chwinga","IDRotF","15","5 (2d4)","1","20","10","14","16","16","0 (10 XP)"
"Chwinga","ToA","15","5 (2d4)","1","20","10","14","16","16","0 (10 XP)"
"Chwinga Astronaut","BAM","15","7 (3d4)","1","20","10","14","16","16","0 (10 XP)"
"Cinder Hulk","BGG","16 (natural armor)","84 (8d10 + 40)","20","12","20","9","14","10","7 (2,900 XP)"
"Clawfoot","ERLW","13","19 (3d8 + 6)","12","16","14","4","12","10","1 (200 XP)"
"Clay Gladiator","ToA","17 (natural armor, shield)","112 (15d8 + 45)","18","15","16","10","12","15","5 (1,800 XP)"
"Clay Golem","MM","14 (natural armor)","133 (14d10 + 56)","20","9","18","3","8","1","9 (5,000 XP)"
"Cloaker","MM","14 (natural armor)","78 (12d10 + 12)","17","15","12","13","12","14","8 (3,900 XP)"
"Clockwork Behir","OoW","17 (natural armor)","168 (16d12 + 64)","23","16","18","7","14","12","11 (7,200 XP)"
"Clockwork Bronze Scout","MPMM","13","36 (8d8)","10","16","11","3","14","1","1 (200 XP)"
"Clockwork Defender","KftGV","17 (natural armor)","42 (5d8 + 20)","16","15","18","3","14","1","1 (200 XP)"
"Clockwork Dragon","AI","16 (natural armor)","22 (4d8 + 4)","14","10","12","10","11","13","1 (200 XP)"
"Clockwork Iron Cobra","MPMM","13","91 (14d8 + 28)","12","16","14","3","10","1","4 (1,100 XP)"
"Clockwork Mule","SKT","10","11 (2d8 + 2)","14","10","13","2","10","5","1/8 (25 XP)"
"Clockwork Oaken Bolter","MPMM","16 (natural armor)","117 (18d8 + 36)","12","18","15","3","10","1","5 (1,800 XP)"
"Clockwork Observer","KftGV","14 (natural armor)","7 (2d4 + 2)","1","16","13","3","15","1","0 (10 XP)"
"Clockwork Stone Defender","MPMM","16 (natural armor)","105 (14d8 + 42)","19","10","17","3","10","1","4 (1,100 XP)"
"Cloud Giant","MM","14 (natural armor)","200 (16d12 + 96)","27","10","22","12","16","16","9 (5,000 XP)"
"Cloud Giant Destiny Gambler","BGG","15 (natural armor)","337 (27d12 + 162)","27","12","22","19","16","22","19 (22,000 XP)"
"Cloud Giant Ghost","CM","15 (natural armor)","104 (16d12)","27","11","10","12","16","17","9 (5,000 XP)"
"Cloud Giant Noble","TftYP","16 (chain mail)","200 (16d12 + 96)","27","10","22","12","16","16","9 (5,000 XP)"
"Cloud Giant Smiling One","MPMM","15 (natural armor)","250 (20d12 + 120)","26","12","22","15","16","17","11 (7,200 XP)"
"Cloud Giant of Evil Air","BGG","14 (natural armor)","200 (16d12 + 96)","27","10","22","12","16","19","12 (8,400 XP)"
"Cockatrice","MM","11","27 (6d6 + 6)","6","12","12","2","13","5","1/2 (100 XP)"
"Cogwork Archivist","SCC","17 (natural armor)","90 (12d10 + 24)","18","10","15","17","11","6","4 (1,100 XP)"
"Coldlight Walker","IDRotF","13 (natural armor)","82 (11d8 + 33)","15","10","17","8","10","8","5 (1,800 XP)"
"Colossus of Akros","MOT","21 (natural armor)","350 (20d20 + 140)","28","10","25","3","11","1","23 (50,000 XP)"
"Commoner","MM","10","4 (1d8)","10","10","10","10","10","10","0 (10 XP)"
"Conclave Dryad","GGR","16 (natural armor)","143 (22d8 + 44)","12","19","14","19","20","21","9 (5,000 XP)"
"Conjurer Wizard","MPMM","12 (15 with mage armor)","58 (13d8)","9","14","11","17","12","11","6 (2,300 XP)"
"Conservatory Student","KftGV","11","9 (2d8)","11","12","11","12","14","16","1/8 (25 XP)"
"Constrictor Snake","MM","12","13 (2d10 + 2)","15","14","12","1","10","3","1/4 (50 XP)"
"Constructed Commoner","CM","15 (natural armor)","6 (1d8 + 2)","10","10","15","10","10","10","0 (10 XP)"
"Copper Dragon Wyrmling","MM","16 (natural armor)","22 (4d8 + 4)","15","12","13","14","11","13","1 (200 XP)"
"Copper Greatwyrm","FTD","22 (natural armor)","565 (29d20 + 261)","30","16","29","21","22","30","28 (120,000 XP, or 240,000 XP as a mythic encounter)"
"Corpse Flower","MPMM","12","127 (15d10 + 45)","14","14","16","7","15","3","8 (3,900 XP)"
"Corrupted Avatar of Lurue","CM","14 (natural armor)","90 (12d10 + 24)","18","14","15","11","17","16","8 (3,900 XP)"
"Cosmic Horror","BAM","15 (natural armor)","280 (16d20 + 112)","27","10","25","24","15","24","18 (20,000 XP)"
"Cosmotronic Blastseeker","GGR","15 (chain shirt)","37 (5d8 + 15)","14","15","16","18","9","12","4 (1,100 XP)"
"Couatl","MM","19 (natural armor)","97 (13d8 + 39)","16","20","17","18","20","18","4 (1,100 XP)"
"Counterflux Blastseeker","GGR","13 (16 with mage armor)","39 (6d8 + 12)","13","16","15","18","11","14","2 (450 XP)"
"Cow","VGM","10","15 (2d10 + 4)","18","10","14","2","10","4","1/4 (50 XP)"
"Crab","MM","11 (natural armor)","2 (1d4)","2","11","10","1","8","2","0 (10 XP)"
"Cradle of the Cloud Scion","BGG","19 (natural armor)","624 (32d20 + 288)","29","21","28","14","22","19","26 (90,000 XP)"
"Cradle of the Fire Scion","BGG","20 (natural armor)","555 (30d20 + 240)","28","12","27","12","20","17","25 (75,000 XP)"
"Cradle of the Frost Scion","BGG","20 (natural armor)","499 (27d20 + 216)","27","14","26","11","19","16","24 (62,000 XP)"
"Cradle of the Hill Scion","BGG","19 (natural armor)","402 (23d20 + 161)","25","10","24","9","16","10","22 (41,000 XP)"
"Cradle of the Stone Scion","BGG","20 (natural armor)","455 (26d20 + 182)","26","15","24","11","18","10","23 (50,000 XP)"
"Cradle of the Storm Scion","BGG","19 (natural armor)","682 (35d20 + 315)","30","14","29","16","23","18","27 (105,000 XP)"
"Crag Cat","SKT","13","34 (4d10 + 12)","16","17","16","4","14","8","1 (200 XP)"
"Cranium Rat","MPMM","12","2 (1d4)","2","14","10","4","11","8","0 (10 XP)"
"Crawling Claw","MM","12","2 (1d4)","13","14","11","5","10","4","0 (10 XP)"
"Crocodile","MM","12 (natural armor)","19 (3d10 + 3)","15","10","13","2","10","5","1/2 (100 XP)"
"Crow","WDMM","12","1 (1d4 - 1)","2","14","8","2","12","6","0 (10 XP)"
"Crushing Wave Priest","PotA","13 (chain shirt)","52 (8d8 + 16)","15","11","14","10","11","16","2 (450 XP)"
"Crushing Wave Reaver","PotA","14 (shield)","22 (4d8 + 4)","15","14","13","10","11","8","1/2 (100 XP)"
"Crystal Battleaxe","WDMM","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Crystal Dragon Wyrmling","FTD","14 (natural armor)","32 (5d8 + 10)","14","12","14","14","13","15","2 (450 XP)"
"Crystal Golem","WDMM","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Crystal Greatwyrm","FTD","21 (natural armor)","507 (26d20 + 234)","28","14","29","30","24","25","26 (90,000 XP)"
"Cult Fanatic","MM","13 (leather armor)","33 (6d8 + 6)","11","14","12","10","13","14","2 (450 XP)"
"Cultist","MM","12 (leather armor)","9 (2d8)","11","12","10","10","11","10","1/8 (25 XP)"
"Cyclops","MM","14 (natural armor)","138 (12d12 + 60)","22","11","20","8","6","10","6 (2,300 XP)"
"Daemogoth","SCC","16 (natural armor)","157 (15d12 + 60)","19","15","19","21","14","18","10 (5,900 XP)"
"Daemogoth Titan","SCC","17 (natural armor)","203 (11d20 + 88)","26","10","26","24","18","20","16 (15,000 XP)"
"Dao","MM","18 (natural armor)","187 (15d10 + 105)","23","12","24","12","13","14","11 (7,200 XP)"
"Dark Tide Knight","PotA","13","58 (9d8 + 18)","17","16","14","10","11","11","3 (700 XP)"
"Darkling","MPMM","14 (leather armor)","13 (3d6 + 3)","9","16","12","10","12","10","1/2 (100 XP)"
"Darkling Elder","MPMM","15 (studded leather armor)","27 (5d8 + 5)","13","17","12","10","14","13","2 (450 XP)"
"Darkmantle","MM","11","22 (5d6 + 5)","16","12","13","2","10","5","1/2 (100 XP)"
"Deadstone Cleft Stone Giant","SKT","17 (natural armor)","126 (11d12 + 55)","23","15","20","10","12","9","7 (2,900 XP)"
"Death Dog","MM","12","39 (6d8 + 12)","15","14","14","3","13","6","1 (200 XP)"
"Death Giant Reaper","BGG","18 (plate)","172 (15d12 + 75)","27","14","20","18","16","16","12 (8,400 XP)"
"Death Giant Shrouded One","BGG","12 (15 with mage armor)","195 (17d12 + 85)","27","14","20","23","16","16","15 (13,000 XP)"
"Death Kiss","MPMM","15 (natural armor)","142 (15d10 + 60)","18","14","18","10","12","10","10 (5,900 XP)"
"Death Knight","MM","20 (plate armor, shield)","180 (19d8 + 95)","20","11","20","12","16","18","17 (18,000 XP)"
"Death Slaad","MM","18 (natural armor)","170 (20d8 + 80)","20","15","19","15","10","16","10 (5,900 XP)"
"Death Tyrant","MM","19 (natural armor)","187 (25d10 + 50)","10","14","14","19","15","19","14 (11,500 XP) or 15 (13,000 XP) when encountered in lair"
"Death's Head","VRGR","16 (natural armor)","17 (5d4 + 5)","8","13","12","5","14","3","1/2 (100 XP)"
"Death's Head of Bhaal","BGDIA","15","76 (8d8 + 40)","20","20","20","14","13","16","5 (1,800 XP)"
"Deathlock","MPMM","12","36 (8d8)","11","15","10","14","12","16","4 (1,100 XP)"
"Deathlock Mastermind","MPMM","13","110 (20d8 + 20)","11","16","12","15","12","17","8 (3,900 XP)"
"Deathlock Wight","MPMM","12","37 (5d8 + 15)","11","14","16","12","14","16","3 (700 XP)"
"Deathpact Angel","GGR","18 (natural armor)","175 (27d8 + 54)","16","18","14","19","20","23","14 (11,500 XP)"
"Deep Crow","AI","17 (natural armor)","133 (14d10 + 56)","20","16","18","8","15","14","9 (5,000 XP)"
"Deep Dragon Wyrmling","FTD","15 (natural armor)","27 (5d8 + 5)","14","11","12","11","12","13","1 (200 XP)"
"Deep Gnome (Svirfneblin)","MM","15 (chain shirt)","16 (3d6 + 6)","15","14","14","12","10","9","1/2 (100 XP)"
"Deep Rothé","MPMM","10","13 (2d8 + 4)","18","10","14","2","10","4","1/4 (50 XP)"
"Deep Scion","MPMM","11","67 (9d8 + 27)","18","13","16","10","12","14","3 (700 XP)"
"Deer","MM","13","4 (1d8)","11","16","11","2","14","5","0 (10 XP)"
"Deinonychus","MPMM","13 (natural armor)","26 (4d8 + 8)","15","15","14","4","12","6","1 (200 XP)"
"Demilich","MM","20 (natural armor)","80 (32d4)","1","20","10","20","17","20","18 (20,000 XP) or 20 (25,000 XP) when encountered in lair"
"Demogorgon","HftT","15 (natural armor)","60 (8d8 + 24)","16","12","16","3","12","5","4 (1,100 XP)"
"Demogorgon","MPMM","22 (natural armor)","464 (32d12 + 256)","29","14","26","20","17","25","26 (90,000 XP)"
"Demos Magen","IDRotF","16 (chain mail)","51 (6d8 + 24)","14","14","18","10","10","7","2 (450 XP)"
"Derro","MPMM","13 (leather armor)","13 (3d6 + 3)","10","14","12","11","5","9","1/4 (50 XP)"
"Derro Savant","MPMM","13 (leather armor)","36 (8d6 + 8)","9","14","12","11","5","14","3 (700 XP)"
"Detached Shadow","WBtW","12","16 (3d8 + 3)","6","14","13","6","10","8","1/2 (100 XP)"
"Deva","MM","17 (natural armor)","136 (16d8 + 64)","18","18","18","17","20","20","10 (5,900 XP)"
"Devkarin Lich","GGR","14 (natural armor)","97 (15d8 + 30)","11","16","14","19","16","15","14 (11,500 XP)"
"Devourer","MPMM","16 (natural armor)","189 (18d10 + 90)","20","12","20","13","10","16","13 (10,000 XP)"
"Dhergoloth","MPMM","15 (natural armor)","119 (14d8 + 56)","17","10","19","7","10","9","7 (2,900 XP)"
"Diatryma","WDH","11","19 (3d10 + 3)","14","12","12","2","10","5","1/4 (50 XP)"
"Dimetrodon","MPMM","12 (natural armor)","19 (3d8 + 6)","14","10","15","2","10","5","1/4 (50 XP)"
"Dining Table Mimic","WDH","12 (natural armor)","75 (10d10 + 20)","17","12","15","5","13","8","3 (700 XP)"
"Dinosaur Skeleton","JttRC","13 (natural armor)","51 (6d10 + 18)","19","13","17","2","12","5","2 (450 XP)"
"Dire Troll","MPMM","15 (natural armor)","172 (15d12 + 75)","22","15","21","9","11","5","13 (10,000 XP)"
"Dire Wolf","MM","14 (natural armor)","37 (5d10 + 10)","17","15","15","3","12","7","1 (200 XP)"
"Displacer Beast","MM","13 (natural armor)","85 (10d10 + 30)","18","15","16","6","12","8","3 (700 XP)"
"Displacer Beast Kitten","WBtW","12 (natural armor)","9 (2d6 + 2)","12","13","12","4","10","6","1/8 (25 XP)"
"Distended Corpse","CoS","10","4 (1d8)","10","10","10","10","10","10","0 (10 XP)"
"Diva","JttRC","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Diviner Wizard","MPMM","12 (15 with mage armor)","90 (20d8)","9","14","11","18","12","11","8 (3,900 XP)"
"Djinni","MM","17 (natural armor)","161 (14d10 + 84)","21","15","22","15","16","20","11 (7,200 XP)"
"Dohwar","BAM","11","10 (3d6)","5","12","11","11","14","13","0 (10 XP)"
"Dolgaunt","ERLW","16 (Unarmored Defense)","33 (6d8 + 6)","14","18","12","13","14","11","3 (700 XP)"
"Dolgrim","ERLW","15 (natural armor, shield)","13 (3d6 + 3)","15","14","12","8","10","8","1/2 (100 XP)"
"Dolphin","MPMM","12 (natural armor)","11 (2d8 + 2)","14","13","13","6","12","7","1/8 (25 XP)"
"Dolphin Delighter","MPMM","14 (natural armor)","27 (5d8 + 5)","14","13","13","11","12","16","3 (700 XP)"
"Doomwake Giant","MOT","15 (natural armor)","162 (13d12 + 78)","24","12","22","12","14","16","11 (7,200 XP)"
